,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
45,BTT-USD,VET-USD,0.8980592404464469,0.17488704924471832,0.043741794496021606,,,,,
46,LTC-USD,DOT-USD,0.8980208494452147,0.22160640337923015,0.33815806469182674,0.05278795798908075,0.04046413728498067,0.04662604763703071,0.04046413728498067,0.05278795798908075
47,GT-USD,LEO-USD,0.8975972394145032,0.999079048442825,0.9807945067918086,0.8849174418740748,0.39554345443967864,0.6402304481568768,0.39554345443967864,0.8849174418740748
48,ICP-USD,PI-USD,0.8975013487874676,0.01729771155688287,0.0004560917170965074,,,,,
49,TRX-USD,BTC-USD,0.8970415361684038,0.9592492139687313,0.9654871239148519,0.08372542144451817,0.0862288954800684,0.08497715846229328,0.08372542144451817,0.0862288954800684
50,FLOW-USD,THETA-USD,0.8958230238063513,0.27525229090413883,0.22338239489657585,0.0009998658470936697,0.0006460379972404623,0.000822951922167066,0.0006460379972404623,0.0009998658470936697
51,GT-USD,BGB-USD,0.8956228918723381,1.0,0.9959896223745187,0.051806821092624925,0.004751707634979849,0.028279264363802386,0.004751707634979849,0.051806821092624925
52,CRO-USD,AVAX-USD,0.895018134305382,0.15821096983477517,0.13933565730774095,0.015937063742577254,0.018585811535828684,0.01726143763920297,0.015937063742577254,0.018585811535828684
53,AXS-USD,APT-USD,0.8946603397692564,1.617816138821547e-08,1.8665378638223977e-05,,,,,
54,THETA-USD,LTC-USD,0.8929298921620324,0.1492778838825759,0.2103245670274247,1.9999276304681266e-05,2.685415666404316e-05,2.3426716484362212e-05,1.9999276304681266e-05,2.685415666404316e-05
55,XLM-USD,LINK-USD,0.8908042660984814,0.3203877542421859,0.18695943356765016,0.17599969265765392,0.1371054936457874,0.15655259315172065,0.1371054936457874,0.17599969265765392
56,FLOW-USD,EOS-USD,0.8888725324046777,0.27525229090413883,0.45197664592487236,0.0008847759991698915,0.0011451151299729301,0.0010149455645714108,0.0008847759991698915,0.0011451151299729301
57,LTC-USD,XLM-USD,0.8878733093168684,0.2103245670274247,0.3203877542421859,0.06092164635844273,0.03249470677331505,0.04670817656587889,0.03249470677331505,0.06092164635844273
