Date,RSI,MACD,MACD_Signal,MACD_Hist,ATR,TEMA,EMA4_Crossover_up,EMA4_Crossover_down,SKDJ_K,SKDJ_D,relative_strength_EMA_4_9,predicted,actual
2024-08-23,60.64996522531269,2.3082022167002947,1.4787272098740862,0.8294750068262084,4.95395113978457,219.842428074012,True,False,94.54591281759622,92.64699652934944,0.9986261775286722,0.010518095983878279,False
2024-08-26,61.11819602887477,2.446266399638205,1.6722350478269101,0.7740313518112947,4.841708539838426,220.28363215366244,True,False,94.77203462969116,92.53961887552693,0.999526906325062,0.00999278246665436,False
2024-08-27,62.32516153476609,2.5942156997472523,1.8566311782109786,0.7375845215362737,4.77810865247585,220.7510894715587,True,False,95.95286714118986,95.09027152949238,1.0004257504189868,0.009535702999253406,False
2024-08-28,58.76590733092601,2.5579884386420986,1.9969026302972028,0.5610858083448957,4.734731483878896,221.08925239249646,True,False,81.41722786817948,90.71404321302013,1.0006658281850769,0.008900123286988968,False
2024-08-29,63.5673133485038,2.7631243161241628,2.150146967462595,0.612977348661568,4.854813981926936,221.6180341654352,True,False,81.9283769282313,86.43282397920018,1.0036428513542006,0.00867842962568573,False
2024-08-30,61.71463562781198,2.829472851280684,2.2860121442262127,0.5434607070544715,4.716154816041682,222.06184491799283,True,False,71.81881587021563,78.38814022220878,1.0020677468380073,0.008271779780739893,False
2024-09-03,49.469866413422494,2.3533215347331975,2.2994740223276096,0.05384751240558794,4.937344912585145,222.07596956699584,True,False,23.222329546709286,58.98984078171872,0.9999095330072616,0.0073799009526980775,False
2024-09-04,46.41352580416691,1.8006249542432045,2.199704208710729,-0.39907925446752435,4.96170464054211,221.96558478803897,False,False,21.826474295606737,38.955873237510524,0.9974752925004043,0.009726795383231967,False
2024-09-05,49.11159836247059,1.468862803194412,2.0535359276074656,-0.5846731244130536,4.937283558000144,221.9608136455899,False,False,31.73570543679325,25.594836426369728,0.9984843936903556,0.009485664427492095,False
2024-09-06,46.538673402333195,1.0680268579675385,1.8564341136794804,-0.7884072557119419,4.974476804523932,221.85592779799137,False,False,21.632249443105795,25.064809725168562,1.0011726182285652,0.00930153170353341,False
